smiles,IC50_nM
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,28200.0
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12,30000.0
CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2n(C)c(=O)n(Cc3nccc4ccccc34)c(=O)c12,28200.0
CC#CCn1c(nc2n(C)c(=O)n(CCCN3CCN(CC3)c3nc(no3)-c3ccccc3)c(=O)c12)N1CCC[C@@H](N)C1,4900.0
CC#CCn1c(nc2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12)N1CCC[C@@H](N)C1,30000.0
CC#C[C@@H](CC(O)=O)c1ccc(OCc2ccc(CN3CCC4(CC3)C=Cc3ccccc43)cc2)cc1,10000.0
CC#C[C@@H](CC(O)=O)c1ccc(OCc2ccc(CN3CCC4(CCc5ccccc45)CC3)s2)cc1,10000.0
CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O,3400.0
CC#C[C@H](c1oc(=O)[nH]c1O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1,3400.0
CC#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)cs1,1410.0
